blue,green,red,ndwi,brightness,label,source_file
0.06122987,0.024835605,0.018071314,0.15764669,0.034712262,0,GSL_1985_01.tif
0.07571668,0.042296577,0.023681361,0.28213876,0.04723154,0,GSL_1985_01.tif
0.042676575,0.006086837,0.006355449,-0.021586906,0.018372955,0,GSL_1985_01.tif
0.037666097,0.0,0.0026763019,-0.99962646,0.013447466,0,GSL_1985_01.tif
0.037666097,0.0,0.0026763019,-0.99962646,0.013447466,0,GSL_1985_01.tif
0.03316393,0.0,0.0,0.0,0.011054643,0,GSL_1985_01.tif
0.02967838,0.0,0.0,0.0,0.009892793,0,GSL_1985_01.tif
0.060721558,0.02119948,0.018227873,0.07536724,0.03338297,0,GSL_1985_01.tif
0.07876654,0.039910372,0.027569253,0.18288389,0.04874872,0,GSL_1985_01.tif
0.07876654,0.039910372,0.027569253,0.18288389,0.04874872,0,GSL_1985_01.tif
0.045218125,0.0067307344,0.0075818314,-0.05946087,0.019843563,0,GSL_1985_01.tif
0.03018669,0.0,0.0,0.0,0.01006223,0,GSL_1985_01.tif
0.09176474,0.05373522,0.03824139,0.16845217,0.06124712,0,GSL_1985_01.tif
0.09176474,0.05373522,0.03824139,0.16845217,0.06124712,0,GSL_1985_01.tif
0.0832324,0.05074299,0.034744896,0.18713655,0.056240097,0,GSL_1985_01.tif
0.040207647,0.006768611,0.005259533,0.1254518,0.01741193,0,GSL_1985_01.tif
0.042240884,0.0049505485,0.0048942273,0.005720348,0.017361887,0,GSL_1985_01.tif
0.10323801,0.06278765,0.041529138,0.2037861,0.06918493,0,GSL_1985_01.tif
0.07825823,0.043546494,0.029526247,0.19186439,0.05044366,0,GSL_1985_01.tif
0.045726433,0.005556569,0.008573375,-0.21348932,0.019952126,0,GSL_1985_01.tif
0.05175353,0.010404735,0.008990866,0.0728926,0.023716375,0,GSL_1985_01.tif
0.03219824,0.067251824,0.03942051,0.26090226,0.04629019,1,GSL_1987_09.tif
0.03138189,0.06949642,0.032381367,0.364306,0.044419896,1,GSL_1987_09.tif
0.029491391,0.06470114,0.027752018,0.399648,0.04064818,1,GSL_1987_09.tif
0.029319528,0.0645481,0.031366713,0.3459428,0.04174478,1,GSL_1987_09.tif
0.029319528,0.07061873,0.030732557,0.39353994,0.04355694,1,GSL_1987_09.tif
0.03013588,0.07179204,0.033966757,0.35765272,0.045298222,1,GSL_1987_09.tif
0.032155275,0.07005757,0.027815433,0.43159714,0.043342758,1,GSL_1987_09.tif
0.03095223,0.060722075,0.026927613,0.38555846,0.039533973,1,GSL_1987_09.tif
0.029061733,0.06327276,0.03219112,0.32558194,0.041508537,1,GSL_1987_09.tif
